id	hyminox
27133	2
27135	0
27137	0
27139	3
27141	1
27143	2
27145	1
27147	2
27149	1
27151	2
27153	1
27155	1
27157	2
27159	1
27161	2
27163	2
27165	2
27167	1
27169	2
27171	2
27173	2
28001	2
28003	3
28005	2
28007	2
28009	3
28011	2
28013	2
28015	2
28017	2
28019	2
28021	2
28023	2
28025	2
28027	2
28029	2
28031	2
28033	5
28035	3
28037	2
28039	1
28041	1
28043	2
28045	1
28047	1
28049	2
28051	2
28053	2
28055	2
28057	2
28059	1
28061	2
28063	2
28065	2
28067	2
28069	2
28071	2
28073	2
28075	2
28077	2
28079	2
28081	3
28083	2
28085	2
28087	3
28089	2
28091	2
28093	3
28095	2
28097	2
28099	2
28101	2
28103	2
28105	2
28107	2
28109	2
28111	2
28113	2
28115	2
28117	3
28119	2
28121	3
28123	2
28125	2
28127	2
28129	2
28131	2
28133	2
28135	2
28137	3
28139	2
28141	3
28143	2
28145	2
28147	2
28149	2
28151	2
28153	2
28155	2
28157	2
28159	2
28161	2
28163	2
29001	3
29003	3
29005	3
29007	3
29009	3
29011	3
29013	3
29015	3
29017	3
29019	3
29021	4
29023	3
29025	3
29027	3
29029	3
29031	3
29033	3
29035	3
29037	3
29039	3
29041	3
29043	3
29045	3
29047	3
29049	3
29051	4
29053	3
29055	3
29057	3
29059	3
29061	3
29063	3
29065	3
29067	3
29069	3
29071	4
29073	3
29075	3
29077	4
29079	3
29081	3
29083	3
29085	3
29087	3
29089	3
29091	3
29093	3
29095	5
29097	3
29099	4
29101	3
29103	3
29105	3
29107	3
29109	3
29111	3
29113	3
29115	3
29117	3
29119	3
29121	3
29123	3
29125	3
29127	3
29129	3
29131	3
29133	3
29135	3
29137	3
29139	3
29141	3
29143	3
29145	3
29147	3
29149	2
29151	3
29153	3
29155	3
29157	3
29159	3
29161	3
29163	3
29165	3
29167	3
29169	3
29171	3
29173	3
29175	3
29177	3
29179	3
29181	3
29183	6
29185	3
29186	3
29187	3
29189	10
29195	3
29197	3
29199	3
29201	3
29203	3
29205	3
29207	3
29209	3
29211	3
29213	3
29215	3
29217	3
29219	4
29221	3
29223	3
29225	3
29227	3
29229	3
29510	7
31001	2
31003	2
31005	2
31007	1
31009	2
31011	2
31013	2
31015	2
31017	2
31019	2
31021	3
31023	3
31025	3
31027	2
31029	2
31031	2
31033	2
31035	2
31037	2
31039	3
31041	2
31043	3
31045	2
31047	2
31049	2
31051	2
31053	3
31055	6
31057	2
31059	2
31061	2
31063	2
31065	2
31067	3
31069	2
31071	2
31073	2
31075	2
31077	2
31079	2
31081	2
31083	2
31085	2
31087	2
31089	2
31091	2
31093	2
31095	2
31097	3
31099	2
31101	2
31103	2
31105	1
31107	2
31109	6
31111	2
31113	2
31115	2
31117	2
31119	2
31121	2
31123	2
31125	2
31127	3
31129	2
31131	3
31133	3
31135	2
31137	2
31139	2
31141	2
31143	3
31145	2
31147	3
31149	2
31151	2
31153	4
31155	3
31157	2
31159	3
31161	2
31163	2
31165	2
31167	2
31169	2
31171	2
31173	3
31175	2
31177	3
31179	2
31181	2
31183	2
31185	2
33001	0
33003	0
33005	1
33007	0
33009	0
33011	1
33013	1
33015	0
33017	0
33019	1
34001	2
34003	11
34005	1
34007	1
34009	1
34011	1
34013	14
34015	2
34017	19
34019	2
34021	2
34023	2
34025	1
34027	7
34029	0
34031	10
34033	1
34035	4
34037	6
34039	8
34041	4
36001	2
36003	2
36005	4
36007	2
36009	2
36011	2
36013	2
36015	3
36017	2
36019	1
36021	2
36023	2
36025	2
36027	2
36029	3
36031	1
36033	1
36035	2
36037	2
36039	2
36041	1
36043	1
36045	2
36047	3
36049	1
36051	2
36053	2
36055	1
36057	2
36059	5
36061	10
36063	1
36065	2
36067	2
36069	2
36071	3
36073	1
36075	1
36077	2
36079	2
36081	3
36083	2
36085	1
36087	3
36089	0
36091	1
36093	3
36095	2
36097	2
36099	2
36101	2
36103	0
36105	2
36107	2
36109	2
36111	2
36113	1
36115	1
36117	1
36119	2
36121	2
36123	2
37001	3
37003	3
37005	2
37007	2
37009	3
37011	3
37013	1
37015	1
37017	1
37019	1
37021	3
37023	3
37025	3
37027	3
37029	0
37031	0
